Name,Age,Overall,Club,Value(£),Age_Group,Overall_Group,Log_Value,Age_Rating
İ. Gündoğan,1.6967200432292615,2.6916746477850304,Manchester City,5.26207487142011,31-35,81-90,1.9125556985264114,2.5826472030565086
B. Bourigeaud,1.0501250100674602,2.193917104794623,Stade Rennais FC,2.966465033422005,26-30,81-90,1.6716360687533631,1.7564299064239204
R. Gosens,0.8345933323468597,2.318356490542225,Inter,3.4128336130327477,26-30,81-90,1.7294711507867857,1.6348611488812506
G. Wijnaldum,1.6967200432292615,2.0694777190470215,Roma,1.8824270543673445,31-35,81-90,1.4903391951940186,2.23369984344329
C. Tolisso,0.8345933323468597,2.193917104794623,Olympique Lyonnais,3.1577658532551807,26-30,81-90,1.6973217383503427,1.5740767701099159
H. Kane,1.0501250100674602,3.1894321907754373,Tottenham Hotspur,13.105408484580302,26-30,81-90,2.3130349238845387,2.2607151228972167
Koke,1.481188365508661,2.4427958762898268,Atlético de Madrid,4.050503012476666,31-35,81-90,1.801170552232017,2.256212576321562
J. Tavernier,1.481188365508661,1.820598947551818,Rangers FC,1.1809907149790346,31-35,71-80,1.3175606820376955,1.9185215831474798
J. Henderson,1.912251720949862,2.4427958762898268,Liverpool,3.285299733143964,31-35,81-90,1.713678514848229,2.62992394210088
L. Messi,2.5588467541116633,3.438310962270641,Paris Saint-Germain,6.537413670307946,36-40,91-100,2.006339469727229,3.8208475113614773
M. Verratti,1.2656566877880606,2.9405534192802336,Paris Saint-Germain,9.53445984769436,26-30,81-90,2.1717907788167916,2.3305045948198604
M. Uribe,1.6967200432292615,2.193917104794623,FC Porto,2.3287956339780873,31-35,81-90,1.5738317202323713,2.3034893153659337
F. Valverde,-0.027533378535542063,2.5672352620374284,Real Madrid CF,8.06782022897335,21-25,81-90,2.0982348218404523,1.0000020817139756
S. Mané,1.481188365508661,3.1894321907754373,FC Bayern München,12.3402052052476,31-35,81-90,2.2862209590926907,2.661441768130461
L. Ocampos,0.8345933323468597,2.193917104794623,Sevilla FC,3.1577658532551807,26-30,81-90,1.6973217383503427,1.5740767701099159
Lucas Paquetá,0.1879982991850584,2.318356490542225,Olympique Lyonnais,5.517142631197677,21-25,81-90,1.932911985934628,1.0810479200757555
Sergi Darder,1.0501250100674602,2.318356490542225,RCD Espanyol de Barcelona,3.5403674929215314,26-30,81-90,1.7447372663543634,1.8194655584830823
Y. Tielemans,0.40352997690565884,2.5672352620374284,Leicester City,6.34611285047477,26-30,81-90,1.9934388683362525,1.378215994068948
Fred,1.2656566877880606,2.0694777190470215,Manchester United,2.2650286940336954,26-30,81-90,1.5627964621307886,1.8734961173909355
Bernardo Silva,0.8345933323468597,3.0649928050278357,Manchester City,12.085137445470032,26-30,81-90,2.276922343808279,1.9995674215092596
Grimaldo,0.6190616546262593,2.318356490542225,SL Benfica,4.305570772254233,26-30,81-90,1.8269768757512104,1.450256739279419
Carlos Soler,0.40352997690565884,2.4427958762898268,Valencia CF,6.409879790419162,26-30,81-90,1.9977795744338214,1.3219341618732676
Diogo Jota,0.40352997690565884,2.6916746477850304,Liverpool,9.343159027861185,26-30,81-90,2.1628405056310007,1.4344978262646284
J. Bellingham,-0.889660089417944,2.5672352620374284,Borussia Dortmund,10.044595367249494,15-20,81-90,2.1948367014549706,0.2435742570040311
G. Kondogbia,1.2656566877880606,2.318356490542225,Atlético de Madrid,3.4128336130327477,26-30,81-90,1.7294711507867857,2.004069968084914
K. Trippier,1.6967200432292615,2.5672352620374284,Newcastle United,3.5403674929215314,31-35,81-90,1.7447372663543634,2.512857731133865
19 C. Marchisio,1.6967200432292615,2.5672352620374284,Juventus,2.1374948141449117,31-35,81-90,1.5398946376033784,2.512857731133865
T. Delaney,1.481188365508661,2.193917104794623,Sevilla FC,2.3925625739224787,31-35,81-90,1.584607300963997,2.121136179051929
K. Mbappé,-0.027533378535542063,3.438310962270641,Paris Saint-Germain,23.945788275126908,21-25,91-100,2.5836511883926914,1.3624570810541574
S. Obisanya,-0.24306505625614253,2.193917104794623,AFC Richmond,6.34611285047477,21-25,81-90,1.9934388683362525,0.6623110885398933
Yuri Berchiche,1.912251720949862,2.318356490542225,Athletic Club de Bilbao,2.3287956339780873,31-35,81-90,1.5738317202323713,2.557883196890409
J. Corona,1.2656566877880606,2.193917104794623,Sevilla FC,2.902698093477613,26-30,81-90,1.6627437300203396,1.938783042737925
L. Robertone,0.40352997690565884,1.5717201760566144,Unión Deportiva Almería,0.9896898951458591,26-30,71-80,1.2564111782347722,0.9279613365035048
M. Sabitzer,1.0501250100674602,2.0694777190470215,FC Bayern München,2.3287956339780873,26-30,81-90,1.5738317202323713,1.6933942543647582
H. Çalhanoğlu,1.0501250100674602,2.5672352620374284,Inter,5.007007111642543,26-30,81-90,1.8912522731333288,1.9455368626014065
Rúben Neves,0.40352997690565884,2.4427958762898268,Wolverhampton Wanderers,5.708443451030853,26-30,81-90,1.9476065428256044,1.3219341618732676
Ó. Trejo,2.343315076391063,1.9450383332994197,Rayo Vallecano,0.6708551954239,31-35,71-80,1.1318815743352797,2.6974621407356967
K. Demirbay,1.0501250100674602,2.193917104794623,Bayer 04 Leverkusen,2.902698093477613,26-30,81-90,1.6627437300203396,1.7564299064239204
R. Guerreiro,1.0501250100674602,2.318356490542225,Borussia Dortmund,3.1577658532551807,26-30,81-90,1.6973217383503427,1.8194655584830823
A. Davies,-0.458596733976743,2.5672352620374284,FC Bayern München,7.366383889585039,21-25,81-90,2.0583887391053146,0.6217881693590034
D. Wass,2.1277833986704624,1.9450383332994197,Atlético de Madrid,1.053456835090251,31-35,71-80,1.2777146021410344,2.5196115509973467
T. Koopmeiners,0.1879982991850584,2.0694777190470215,Atalanta,3.4766005529771395,21-25,81-90,1.7371678203285545,0.9729868022600491
J. Veretout,1.2656566877880606,1.9450383332994197,Olympique de Marseille,1.5635923546453854,26-30,71-80,1.4197472717889403,1.8082091920439463
P. Pogba,1.2656566877880606,2.6916746477850304,Juventus,6.34611285047477,26-30,81-90,1.9934388683362525,2.199930744125882
Jesús Navas,2.7743784318322637,2.4427958762898268,Sevilla FC,0.6708551954239,36-40,81-90,1.1318815743352797,3.377346673659516
Ricardo Pereira,1.0501250100674602,2.4427958762898268,Leicester City,3.8592021926434903,26-30,81-90,1.7808142649746384,1.8825012105422445
