Name,Age,Overall,Club,Value(£),Age_Group,Overall_Group,Log_Value,Age_Rating
R. Örqvist,-0.027533378535542063,-0.04599183866220832,Degerfors IF,-0.26333047476143984,21-25,61-70,-0.00036984053193182934,-0.08736291630656966
J. Murillo,1.0501250100674602,0.9495232473186057,Los Angeles FC,-0.10710147189767992,26-30,71-80,0.47355132422184126,1.1260733858322998
22 S. Owusu,0.40352997690565884,0.7006444758234022,Al Fayha,-0.15811502385319337,26-30,61-70,0.3652992577569411,0.533988511133742
H. Palacios,1.2656566877880606,1.1984020188138091,Elche CF,-0.005074367986653036,26-30,71-80,0.6344707782537555,1.4164876399620108
N. Williams,-0.458596733976743,0.9495232473186057,Nottingham Forest,0.16071967586876565,21-25,71-80,0.8144610677735876,0.007190561782173422
G. Giorbelidze,0.6190616546262593,0.5762050900758005,Zagłębie Lubin,-0.1836217998309501,26-30,61-70,0.2997675508016166,0.6307932625103123
20 Nacho,0.6190616546262593,0.32732631858059696,CD Numancia,-0.26014212776422024,26-30,61-70,0.01628437324257179,0.513727051543297
M. Guéhi,-0.458596733976743,1.820598947551818,Crystal Palace,3.4128336130327477,21-25,71-80,1.7294711507867857,0.33812773509277416
22 S. Skytte,0.1879982991850584,0.2028869328329952,Stabæk Fotball,-0.2091285758087068,21-25,61-70,0.22326668802336444,0.16252841864225134
A. Sapara,0.8345933323468597,0.825083861571004,Portimonense SC,-0.13260824787543665,26-30,71-80,0.4226165658590549,0.9054486036252326
E. Henderson,-0.24306505625614253,0.2028869328329952,Hibernian,-0.145361635864315,21-25,61-70,0.3948540783135041,-0.13013710877528675
E. Kahl,-0.6741284116973434,0.32732631858059696,Aarhus GF,-0.11985485988655828,21-25,61-70,0.4487917362743273,-0.3777771704362805
H. Charsley,0.40352997690565884,-0.17043122440981007,Port Vale,-0.2888372507391966,26-30,61-70,-0.16128908032288844,0.14001568576397916
Davo,0.8345933323468597,0.5762050900758005,Wisła Płock,-0.1836217998309501,26-30,61-70,0.2997675508016166,0.783879846082563
Diego Rosa,-0.889660089417944,0.4517657043281987,FC Vizela,-0.04333453195328812,15-20,61-70,0.5805331096924551,-0.4835870149641597
G. Higuaín,2.343315076391063,1.4472807903090128,Inter Miami CF,-0.005074367986653036,31-35,71-80,0.6344707782537555,2.391288973591195
13 C. Meriem,1.912251720949862,0.9495232473186057,OGC Nice,-0.2410120457809027,31-35,71-80,0.10519627143160433,1.7654349995752292
R. Ríos,0.6190616546262593,0.07844754708539343,Club Nacional,-0.26333047476143984,26-30,61-70,-0.00036984053193182934,0.3966608405762818
M. Kilman,0.40352997690565884,1.6961595618042162,Wolverhampton Wanderers,1.4998254147009937,26-30,71-80,1.404222359881572,0.9842431686991852
22 A. Üner,-0.458596733976743,0.4517657043281987,Beşiktaş JK,-0.05608791994216648,21-25,61-70,0.5610433224833009,-0.18191639439531274
A. Trajkovski,1.2656566877880606,0.7006444758234022,Al Fayha,-0.17086841184207172,26-30,61-70,0.3337046099464709,1.1553399385740537
Pepê,0.40352997690565884,1.6961595618042162,FC Porto,1.4360584747566019,26-30,71-80,1.3881526043524386,0.9842431686991852
J. Baas,-0.6741284116973434,0.2028869328329952,Excelsior,-0.145361635864315,21-25,61-70,0.3948540783135041,-0.4228026361928248
E. Clavijo,-0.24306505625614253,-0.04599183866220832,C.D. Universidad Católica del Ecuador,-0.2091285758087068,21-25,61-70,0.22326668802336444,-0.22919313343968425
F. Medina,-0.027533378535542063,1.5717201760566144,Racing Club de Lens,0.7983890753126837,21-25,71-80,1.1858192577372553,0.585767796753768
P. Lane,-0.458596733976743,0.2028869328329952,Fleetwood Town,-0.145361635864315,21-25,61-70,0.3948540783135041,-0.2764698724840558
R. Assalé,1.0501250100674602,0.4517657043281987,Dijon FCO,-0.22188196379758518,26-30,61-70,0.17962028362054688,0.8739307775956516
M. Cangá,2.1277833986704624,0.32732631858059696,9 de Octubre,-0.2920255977364162,31-35,61-70,-0.18604862810024175,1.553815310519471
S. Banza,0.40352997690565884,1.4472807903090128,SC Braga,0.6070882554795083,26-30,71-80,1.1023267385140267,0.8716795043078244
K. Tagawa,-0.027533378535542063,0.825083861571004,Santa Clara,-0.03058114396440976,21-25,71-80,0.5992271700440065,0.27509208303361216
M. Harris,-0.027533378535542063,0.4517657043281987,Cardiff City,-0.145361635864315,21-25,61-70,0.3948540783135041,0.11975422617353422
A. Ceesay,1.0501250100674602,0.7006444758234022,Lecce,-0.17086841184207172,26-30,61-70,0.3337046099464709,1.0000020817139756
C. Ogilvie,0.6190616546262593,0.4517657043281987,Portsmouth,-0.2091285758087068,26-30,61-70,0.22326668802336444,0.5722601570268047
D. Agazzi,1.2656566877880606,0.4517657043281987,Ternana,-0.22188196379758518,26-30,61-70,0.17962028362054688,1.024766087880075
K. Davis,0.1879982991850584,1.0739626330662075,Aston Villa,0.10970612391325221,21-25,71-80,0.7662121728728419,0.5407423309972237
20 G. Chaalali,0.40352997690565884,0.825083861571004,Yeni Malatyaspor,-0.0815946959199232,26-30,71-80,0.5193836276962386,0.5902703433294224
L. Flach,-0.458596733976743,0.32732631858059696,Philadelphia Union,-0.10710147189767992,21-25,61-70,0.47355132422184126,-0.22919313343968425
F. Pacheco,-0.027533378535542063,0.32732631858059696,FC Emmen,-0.17086841184207172,21-25,61-70,0.3337046099464709,0.06797494055350825
22 M. Quiroga,1.2656566877880606,0.07844754708539343,Club Atlético Nacional Potosí,-0.2760838627503182,26-30,61-70,-0.07379720781153572,0.8289053118391073
Marquinhos,-0.24306505625614253,0.7006444758234022,Ferencvárosi TC,0.04593918396886041,21-25,61-70,0.6977354706463247,0.06797494055350825
15 M. Al Laham,-0.027533378535542063,0.2028869328329952,Najran SC,-0.2792722097475378,21-25,61-70,-0.09415345947145214,0.016195654933482285
Cantero,-0.24306505625614253,0.7006444758234022,Levante Unión Deportiva,0.05869257195773877,21-25,61-70,0.7122744990113012,0.06797494055350825
A. Buksa,0.40352997690565884,1.4472807903090128,Racing Club de Lens,0.5433213155351164,26-30,71-80,1.0707320732581957,0.8716795043078244
J. Anthony,-0.24306505625614253,1.0739626330662075,AFC Bournemouth,0.26274677977979255,21-25,71-80,0.8979535780924097,0.2165589775501045
V. Jensen,-0.24306505625614253,0.4517657043281987,Rosenborg BK,-0.05608791994216648,21-25,61-70,0.5610433224833009,-0.03108108411088925
R. Piscopo,0.1879982991850584,0.32732631858059696,Newcastle Jets,-0.17086841184207172,21-25,61-70,0.3337046099464709,0.2165589775501045
Toti Gomes,-0.027533378535542063,0.7006444758234022,Wolverhampton Wanderers,-0.017827755975531396,21-25,61-70,0.6171879384748515,0.22331279741358617
B. Eva Nga,1.2656566877880606,0.7006444758234022,Orlando Pirates,-0.17086841184207172,26-30,61-70,0.3337046099464709,1.1553399385740537
21 K. Peralta,-0.027533378535542063,0.4517657043281987,Club Deportivo El Nacional,-0.15811502385319337,21-25,61-70,0.3652992577569411,0.11975422617353422
A. Andrade,-0.027533378535542063,0.7006444758234022,DSC Arminia Bielefeld,-0.017827755975531396,21-25,61-70,0.6171879384748515,0.22331279741358617
T. Jantschke,1.912251720949862,1.0739626330662075,Borussia Mönchengladbach,-0.15811502385319337,31-35,71-80,0.3652992577569411,1.8374757447857002
T. Campbell,-0.24306505625614253,0.825083861571004,Stoke City,0.10970612391325221,21-25,71-80,0.7662121728728419,0.11750295288570702
R. Tesuri,0.6190616546262593,0.7006444758234022,Atlético Tucumán,-0.145361635864315,26-30,61-70,0.3948540783135041,0.6893263679938199
O. Hernández,1.2656566877880606,0.825083861571004,Norwich City,-0.145361635864315,26-30,71-80,0.3948540783135041,1.220626863921043
O. Villadsen,-0.6741284116973434,0.32732631858059696,FC Nordsjælland,-0.11985485988655828,21-25,61-70,0.4487917362743273,-0.3777771704362805
22 T. Carroll,1.2656566877880606,0.07844754708539343,Ipswich Town,-0.2760838627503182,26-30,61-70,-0.07379720781153572,0.8289053118391073
H. Al Haydos,1.6967200432292615,1.0739626330662075,Manchester United,-0.3494158436863688,31-35,71-80,-6.1470699070995485,1.6753840680621406
22 L. Martell,0.6190616546262593,0.2028869328329952,Metropolitanos de Caracas FC,-0.2410120457809027,26-30,61-70,0.10519627143160433,0.4551939460597894
Matheus Bueno,-0.027533378535542063,0.2028869328329952,Gil Vicente FC,-0.2091285758087068,21-25,61-70,0.22326668802336444,0.016195654933482285
21 A. Nedyalkov,0.8345933323468597,0.7006444758234022,Manchester United,-0.3494158436863688,26-30,61-70,-6.1470699070995485,0.8446642248538978
N. Morgantini,0.8345933323468597,0.32732631858059696,Platense,-0.23463535178646353,26-30,61-70,0.13137142688150677,0.6623110885398933
21 Peng Weisheng,2.1277833986704624,0.32732631858059696,Jiangsu FC,-0.29521394473363577,31-35,61-70,-0.21222375361945808,1.553815310519471
Dany Mota,0.1879982991850584,1.322841404561411,AC Monza,0.47955437559072467,21-25,71-80,1.0367949939840821,0.64880344881293
Nuno da Costa,1.6967200432292615,0.825083861571004,AJ Auxerre,-0.1836217998309501,31-35,71-80,0.2997675508016166,1.5358051242168531
J. Estupiñán,-0.24306505625614253,-0.04599183866220832,La Equidad,-0.22507031079480475,21-25,61-70,0.1680262312012757,-0.22919313343968425
T. Gjertsen,1.481188365508661,0.32732631858059696,Kristiansund BK,-0.2442003927781223,31-35,61-70,0.09152538977221614,1.1080631995296821
T. Ince,1.481188365508661,0.7006444758234022,Reading,-0.1836217998309501,31-35,61-70,0.2997675508016166,1.3106777954341315
A. Smrcka,-0.889660089417944,-0.4193099959050136,FK Austria Wien,-0.2824605567447574,15-20,61-70,-0.11545684571163768,-0.7830063622451794
22 I. Ynfante,1.0501250100674602,-0.04599183866220832,Independiente Petrolero,-0.2888372507391966,26-30,61-70,-0.16128908032288844,0.6217881693590034
Miguel Maga,-0.889660089417944,0.5762050900758005,Vitória de Guimarães,-0.03058114396440976,15-20,61-70,0.5992271700440065,-0.44081282249544257
E. Mero,-0.027533378535542063,0.2028869328329952,Delfín Sporting Club,-0.2091285758087068,21-25,61-70,0.22326668802336444,0.016195654933482285
22 T. Escalante,-0.458596733976743,0.2028869328329952,Defensa y Justicia,-0.2091285758087068,21-25,61-70,0.22326668802336444,-0.2764698724840558
C. Forsyth,2.1277833986704624,0.4517657043281987,Derby County,-0.2824605567447574,31-35,61-70,-0.11545684571163768,1.628107329017769
M. Ajani,1.0501250100674602,0.07844754708539343,MSV Duisburg,-0.2728955157530986,26-30,61-70,-0.05430744549043033,0.6848238214181654
Kiko Bondoso,0.6190616546262593,0.9495232473186057,FC Vizela,-0.06884130793104484,26-30,71-80,0.5406870436727885,0.8063925789608352
J. Graham,0.8345933323468597,0.825083861571004,Birmingham City,-0.13260824787543665,26-30,71-80,0.4226165658590549,0.9054486036252326
J. Tagueu,1.0501250100674602,1.0739626330662075,Clube Sport Marítimo,-0.04333453195328812,26-30,71-80,0.5805331096924551,1.189109037891462
A. Al Bishi,1.0501250100674602,0.7006444758234022,Al Ittihad,-0.17086841184207172,26-30,61-70,0.3337046099464709,1.0000020817139756
E. Amenyido,0.1879982991850584,0.5762050900758005,FC St. Pauli,-0.10710147189767992,21-25,61-70,0.47355132422184126,0.3246200953658109
R. Leal,0.40352997690565884,0.9495232473186057,Nashville SC,-0.03058114396440976,26-30,71-80,0.5992271700440065,0.6465521755251028
R. Reitz,-0.6741284116973434,0.07844754708539343,Borussia Mönchengladbach,-0.17086841184207172,21-25,61-70,0.3337046099464709,-0.4678281019493692
J. Verhoek,2.1277833986704624,0.9495232473186057,F.C. Hansa Rostock,-0.19637518781982843,31-35,71-80,0.2631127366968009,1.9252754030109616
19 A. Tziolis,2.1277833986704624,0.825083861571004,Al Fayha,-0.25695378076700065,31-35,71-80,0.03235410734099762,1.8509833845126633
S. Rhein,0.1879982991850584,0.7006444758234022,F.C. Hansa Rostock,-0.13260824787543665,21-25,61-70,0.4226165658590549,0.37865065427366407
13 J. Boumsong,1.912251720949862,1.6961595618042162,Panathinaikos FC,-0.145361635864315,31-35,71-80,0.3948540783135041,2.1976794708380547
C. Stengs,-0.027533378535542063,1.1984020188138091,OGC Nice,0.41578743564633286,21-25,71-80,1.000140156395131,0.43042993989369005
J. Siebatcheu,0.6190616546262593,1.322841404561411,1. FC Union Berlin,0.35202049570194105,26-30,71-80,0.9602940799677194,0.981991895411358
A. Gutiérrez,0.1879982991850584,0.7006444758234022,Deportivo Cali,-0.005074367986653036,21-25,61-70,0.6344707782537555,0.37865065427366407
F. Colidio,-0.24306505625614253,0.825083861571004,Club Atlético Tigre,0.10970612391325221,21-25,71-80,0.7662121728728419,0.11750295288570702
R. Sottil,-0.027533378535542063,1.4472807903090128,Fiorentina,0.7346221353682919,21-25,71-80,1.1596440753496762,0.533988511133742
C. Zambrano,1.912251720949862,1.322841404561411,Boca Juniors,-0.005074367986653036,31-35,71-80,0.6344707782537555,1.981557235206642
N. Castro,-0.458596733976743,0.5762050900758005,KRC Genk,0.033185795979982044,21-25,61-70,0.6827196689143089,-0.1346396553509412
S. Abdulhamid,-0.24306505625614253,0.825083861571004,Al Hilal,-0.04333453195328812,21-25,71-80,0.5805331096924551,0.11750295288570702
Yin Hongbo,1.912251720949862,0.32732631858059696,Meizhou Hakka,-0.26333047476143984,31-35,61-70,-0.00036984053193182934,1.4052312735228747
21 D. Armas,1.2656566877880606,0.2028869328329952,C.D. Universidad Católica del Ecuador,-0.26014212776422024,26-30,61-70,0.01628437324257179,0.8941922371860965
M. Steinmann,0.8345933323468597,0.32732631858059696,Brisbane Roar,-0.23463535178646353,26-30,61-70,0.13137142688150677,0.6623110885398933
Gaspar Campos,-0.24306505625614253,0.2028869328329952,Real Sporting de Gijón,-0.145361635864315,21-25,61-70,0.3948540783135041,-0.13013710877528675
A. Ståhl,0.8345933323468597,0.07844754708539343,Mjällby AIF,-0.2760838627503182,26-30,61-70,-0.07379720781153572,0.5407423309972237
22 O. Diakité,-0.6741284116973434,0.2028869328329952,FC St. Gallen 1879,-0.15811502385319337,21-25,61-70,0.3652992577569411,-0.4228026361928248
J. Rodríguez,0.40352997690565884,0.07844754708539343,Delfín Sporting Club,-0.25376543376978106,26-30,61-70,0.047878999246369486,0.25257935015534
22 D. Prutsev,-0.458596733976743,0.5762050900758005,Spartak Moskva,-0.005074367986653036,21-25,61-70,0.6344707782537555,-0.1346396553509412
B. Soumaré,-0.027533378535542063,0.2028869328329952,Dijon FCO,-0.2091285758087068,21-25,61-70,0.22326668802336444,0.016195654933482285
S. Savić,1.6967200432292615,2.5672352620374284,Atlético de Madrid,3.349066673088356,31-35,81-90,1.7216429078948163,2.512857731133865
K. Bielik,0.1879982991850584,0.9495232473186057,Birmingham City,-0.04333453195328812,21-25,71-80,0.5805331096924551,0.48671177208937044
K. Karataş,-0.889660089417944,0.07844754708539343,Galatasaray SK,-0.19637518781982843,15-20,61-70,0.2631127366968009,-0.611909592370311
J. Morales,2.1277833986704624,0.2028869328329952,Ayacucho,-0.3047789857252945,31-35,61-70,-0.30113553636161294,1.4795232920211727
21 R. Burbano,0.1879982991850584,0.32732631858059696,CS Emelec,-0.19637518781982843,21-25,61-70,0.2631127366968009,0.2165589775501045
H. Abdelli,-0.24306505625614253,0.32732631858059696,Angers SCO,-0.13260824787543665,21-25,61-70,0.4226165658590549,-0.080609096443088
21 K. Huntelaar,2.7743784318322637,1.1984020188138091,FC Schalke 04,-0.22188196379758518,36-40,71-80,0.17962028362054688,2.5668882900417183
T. Van Den Keybus,-0.458596733976743,0.4517657043281987,KVC Westerlo,-0.05608791994216648,21-25,61-70,0.5610433224833009,-0.18191639439531274
E. Harrison,1.0501250100674602,0.2028869328329952,Fleetwood Town,-0.25695378076700065,26-30,61-70,0.03235410734099762,0.7478594734773275
F. Ceccherini,1.481188365508661,1.4472807903090128,Hellas Verona,0.23724000380203583,31-35,71-80,0.8784637867352413,1.7159069872430304
H. Boateng,0.6190616546262593,-0.04599183866220832,Mansfield Town,-0.2728955157530986,26-30,61-70,-0.05430744549043033,0.33812773509277416
M. Solbakken,-0.458596733976743,-0.04599183866220832,Viking FK,-0.2091285758087068,21-25,61-70,0.22326668802336444,-0.3710233505727989
L. Kunze,0.1879982991850584,0.2028869328329952,VfL Osnabrück,-0.2091285758087068,21-25,61-70,0.22326668802336444,0.16252841864225134
M. Cuadra,0.8345933323468597,0.4517657043281987,Club Atlético Banfield,-0.2091285758087068,26-30,61-70,0.22326668802336444,0.7230954673112281
J. Olaitan Ishola,-0.6741284116973434,-0.17043122440981007,Chamois Niortais Football Club,-0.23782369878368312,21-25,61-70,0.11847083978602867,-0.5578790334624578
22 F. Vargas,-0.24306505625614253,0.5762050900758005,FC Dallas,-0.005074367986653036,21-25,61-70,0.6344707782537555,0.018446928221309503
D. Gayle,1.6967200432292615,1.0739626330662075,Stoke City,-0.09434808390880156,31-35,71-80,0.4970406184544979,1.6753840680621406
21 E. Rodríguez,1.481188365508661,0.07844754708539343,Club Social y Deportivo Macará,-0.2760838627503182,31-35,61-70,-0.07379720781153572,0.9729868022600491
C. Benteke,1.6967200432292615,1.322841404561411,D.C. United,0.10970612391325221,31-35,71-80,0.7662121728728419,1.814963011907428
S. van der Water,0.40352997690565884,0.7006444758234022,SC Cambuur,-0.11985485988655828,26-30,61-70,0.4487917362743273,0.533988511133742
22 N. Zerhouni,0.40352997690565884,0.7006444758234022,Al Hazem,-0.13260824787543665,26-30,61-70,0.4226165658590549,0.533988511133742
M. Sivis,0.1879982991850584,0.07844754708539343,En Avant de Guingamp,-0.23782369878368312,21-25,61-70,0.11847083978602867,0.10849785973439814
J. Clarke-Harris,0.8345933323468597,0.9495232473186057,Peterborough United,-0.09434808390880156,26-30,71-80,0.4970406184544979,0.9662329823965675
F. Kruspzky,-0.889660089417944,0.7006444758234022,Arsenal de Sarandí,0.033185795979982044,15-20,61-70,0.6827196689143089,-0.39803863002672546
J. Morrell,0.40352997690565884,0.4517657043281987,Portsmouth,-0.1836217998309501,26-30,61-70,0.2997675508016166,0.4214248467423812
O. Burke,0.40352997690565884,0.5762050900758005,SV Werder Bremen,-0.11985485988655828,26-30,61-70,0.4487917362743273,0.47770667893806157
A. Zaroury,-0.458596733976743,0.5762050900758005,Royal Charleroi S.C.,-0.005074367986653036,21-25,61-70,0.6344707782537555,-0.1346396553509412
F. Pellistri,-0.6741284116973434,0.825083861571004,Manchester United,0.13521289989100893,21-25,71-80,0.7909717675153956,-0.19767530741010325
22 Kwon Kyung Won,1.2656566877880606,1.0739626330662075,Gamba Osaka,-0.09434808390880156,26-30,71-80,0.4970406184544979,1.3512007146150213
22 M. Zunino,1.6967200432292615,0.4517657043281987,Club Nacional de Football,-0.2410120457809027,31-35,61-70,0.10519627143160433,1.3264367084489221
M. Osmajić,-0.24306505625614253,0.7006444758234022,Cádiz CF,0.020432407991103685,21-25,61-70,0.6671947612178919,0.06797494055350825
22 W. Corozo,-0.24306505625614253,0.825083861571004,Austin FC,-0.05608791994216648,21-25,71-80,0.5610433224833009,0.11750295288570702
J. Kerr,0.40352997690565884,0.7006444758234022,Wigan Athletic,-0.13260824787543665,26-30,61-70,0.4226165658590549,0.533988511133742
S. Panada,-0.6741284116973434,0.07844754708539343,Modena,-0.19637518781982843,21-25,61-70,0.2631127366968009,-0.4678281019493692
I. Saibari,-0.6741284116973434,0.4517657043281987,PSV,-0.03058114396440976,21-25,61-70,0.5992271700440065,-0.3327517046797362
O. Azubuike,0.40352997690565884,0.7006444758234022,İstanbul Başakşehir FK,-0.11985485988655828,26-30,61-70,0.4487917362743273,0.533988511133742
C. Vélez,1.2656566877880606,0.32732631858059696,Delfín Sporting Club,-0.25695378076700065,26-30,61-70,0.03235410734099762,0.9594791625330858
22 Carbonell,-0.027533378535542063,0.07844754708539343,RC Celta de Vigo,-0.19637518781982843,21-25,61-70,0.2631127366968009,-0.03558363068654368
J. Mellot,1.0501250100674602,1.0739626330662075,CD Tenerife,-0.0815946959199232,26-30,71-80,0.5193836276962386,1.189109037891462
22 J. Acevedo,-0.027533378535542063,0.5762050900758005,Metropolitanos de Caracas FC,-0.145361635864315,21-25,61-70,0.3948540783135041,0.1715335117935602
C. Willock,0.1879982991850584,1.1984020188138091,Queens Park Rangers,0.23724000380203583,21-25,71-80,0.8784637867352413,0.5947728899050768
A. Collins,0.40352997690565884,0.2028869328329952,Bristol Rovers,-0.23463535178646353,26-30,61-70,0.13137142688150677,0.3088611823510204
Thiago Andrade,-0.458596733976743,0.32732631858059696,New York City FC,-0.10710147189767992,21-25,61-70,0.47355132422184126,-0.22919313343968425
I. Franco,-0.24306505625614253,0.9495232473186057,Club Libertad,0.18622645184652237,21-25,71-80,0.8368040824670036,0.16703096521790575
C. Zafeiris,-0.889660089417944,-0.17043122440981007,FK Haugesund,-0.22825865779202434,15-20,61-70,0.15613100143895367,-0.6974579773077452
Léo Bonatini,1.0501250100674602,0.4517657043281987,Wolverhampton Wanderers,-0.22188196379758518,26-30,61-70,0.17962028362054688,0.8739307775956516
S. Lynen,-0.027533378535542063,0.4517657043281987,Royale Union Saint-Gilloise,-0.17086841184207172,21-25,61-70,0.3337046099464709,0.11975422617353422
21 T. Tomić,1.2656566877880606,0.2028869328329952,FC Flyeralarm Admira,-0.2728955157530986,26-30,61-70,-0.05430744549043033,0.8941922371860965
N. Orsini,0.8345933323468597,1.0739626330662075,Boca Juniors,-0.03058114396440976,26-30,71-80,0.5992271700440065,1.0270173611679023
Javi Sánchez,0.40352997690565884,1.1984020188138091,Real Valladolid CF,0.35202049570194105,26-30,71-80,0.9602940799677194,0.7591158399164636
F. Piasecki,0.8345933323468597,0.4517657043281987,Raków Częstochowa,-0.19637518781982843,26-30,61-70,0.2631127366968009,0.7230954673112281
21 M. Ćuže,-0.458596733976743,0.07844754708539343,Dinamo Zagreb,-0.1836217998309501,21-25,61-70,0.2997675508016166,-0.3237466115284273
R. Alm,0.6190616546262593,0.5762050900758005,IF Elfsborg,-0.17086841184207172,26-30,61-70,0.3337046099464709,0.6307932625103123
L. Emini,-0.24306505625614253,0.07844754708539343,FC Luzern,-0.1836217998309501,21-25,61-70,0.2997675508016166,-0.1796651211074855
N. Kilkenny,2.7743784318322637,0.4517657043281987,Western United FC,-0.32390906770861205,36-40,61-70,-0.5574056096128817,2.0806132598710394
M. Carrasco,1.2656566877880606,0.32732631858059696,C.D. Universidad Católica del Ecuador,-0.25376543376978106,26-30,61-70,0.047878999246369486,0.9594791625330858
F. Baldassarra,-0.027533378535542063,0.2028869328329952,Platense,-0.2091285758087068,21-25,61-70,0.22326668802336444,0.016195654933482285
Javi Hernández,0.1879982991850584,0.4517657043281987,CD Leganés,-0.10710147189767992,21-25,61-70,0.47355132422184126,0.2705895364579577
A. Zerbin,-0.027533378535542063,1.0739626330662075,Napoli,0.28825355575754924,21-25,71-80,0.9166476422601346,0.37865065427366407
22 N. Folleco,0.8345933323468597,0.2028869328329952,Independiente Petrolero,-0.26014212776422024,26-30,61-70,0.01628437324257179,0.6015267097685585
15 F. Señoreli,-0.027533378535542063,0.2028869328329952,Manchester United,-0.3494158436863688,21-25,61-70,-6.1470699070995485,0.016195654933482285
22 C. Florenciañez,0.8345933323468597,0.07844754708539343,Independiente Petrolero,-0.269707168755879,26-30,61-70,-0.03561340803588567,0.5407423309972237
T. Anjorin,-0.6741284116973434,0.32732631858059696,Huddersfield Town,-0.0815946959199232,21-25,61-70,0.5193836276962386,-0.3777771704362805
21 G. Milanov,1.0501250100674602,0.4517657043281987,Manchester United,-0.3494158436863688,26-30,61-70,-6.1470699070995485,0.8739307775956516
Vitinho,-0.24306505625614253,0.5762050900758005,Burnley,-0.017827755975531396,21-25,61-70,0.6171879384748515,0.018446928221309503
D. Kownacki,0.40352997690565884,0.825083861571004,Fortuna Düsseldorf,-0.06884130793104484,26-30,71-80,0.5406870436727885,0.5902703433294224
Vivian,-0.24306505625614253,1.5717201760566144,Athletic Club de Bilbao,1.4360584747566019,21-25,71-80,1.3881526043524386,0.4146710268788995
R. Porteous,-0.027533378535542063,0.825083861571004,Hibernian,-0.06884130793104484,21-25,71-80,0.5406870436727885,0.27509208303361216
J. Martínez,0.8345933323468597,1.0739626330662075,Philadelphia Union,-0.04333453195328812,26-30,71-80,0.5805331096924551,1.0270173611679023
W. Zimmerman,1.2656566877880606,1.5717201760566144,Nashville SC,0.5433213155351164,26-30,71-80,1.0707320732581957,1.6123484160029784
Song Min Kyu,-0.24306505625614253,0.5762050900758005,Jeonbuk Hyundai Motors,-0.005074367986653036,21-25,61-70,0.6344707782537555,0.018446928221309503
S. Memišević,1.0501250100674602,1.0739626330662075,Beijing Guoan FC,-0.09434808390880156,26-30,71-80,0.4970406184544979,1.189109037891462
R. Herrmann,1.0501250100674602,0.2028869328329952,FSV Zwickau,-0.25695378076700065,26-30,61-70,0.03235410734099762,0.7478594734773275
22 D. Giménez,0.1879982991850584,0.2028869328329952,Independiente Petrolero,-0.23144700478924393,21-25,61-70,0.143918528775923,0.16252841864225134
P. Beruatto,-0.027533378535542063,1.4472807903090128,Pisa,0.7346221353682919,21-25,71-80,1.1596440753496762,0.533988511133742
B. Alhassan,-0.24306505625614253,0.07844754708539343,AFC Hermannstadt,-0.19637518781982843,21-25,61-70,0.2631127366968009,-0.1796651211074855
J. Nardoni,-0.889660089417944,0.32732631858059696,Unión de Santa Fe,-0.11985485988655828,15-20,61-70,0.4487917362743273,-0.5263612074328768
Tiago Araújo,-0.458596733976743,0.4517657043281987,Estoril Praia,-0.05608791994216648,21-25,61-70,0.5610433224833009,-0.18191639439531274
Bryan Gil,-0.458596733976743,1.6961595618042162,Tottenham Hotspur,2.647630333700046,21-25,71-80,1.625340006362922,0.29085099604840264
C. Bramall,0.6190616546262593,0.07844754708539343,Rotherham United,-0.26014212776422024,26-30,61-70,0.01628437324257179,0.3966608405762818
22 R. Smith,0.1879982991850584,-0.04599183866220832,WSG Tirol,-0.269707168755879,21-25,61-70,-0.03561340803588567,0.05446730082654496
S. Jurić,0.40352997690565884,0.4517657043281987,Parma,-0.1836217998309501,26-30,61-70,0.2997675508016166,0.4214248467423812
B. Balcı,-0.24306505625614253,0.5762050900758005,Antalyaspor,-0.05608791994216648,21-25,61-70,0.5610433224833009,0.018446928221309503
22 Sokratis,2.1277833986704624,1.6961595618042162,Olympiacos CFP,0.28825355575754924,31-35,71-80,0.9166476422601346,2.37102751400075
Lee Dong Jun,0.40352997690565884,0.825083861571004,Hertha BSC,-0.0815946959199232,26-30,71-80,0.5193836276962386,0.5902703433294224
21 L. Suhr,-0.24306505625614253,0.4517657043281987,Club Plaza de Deportes Colonia,-0.15811502385319337,21-25,61-70,0.3652992577569411,-0.03108108411088925
D. Rasak,0.6190616546262593,0.32732631858059696,Wisła Płock,-0.22188196379758518,26-30,61-70,0.17962028362054688,0.513727051543297
C. Sosa,0.6190616546262593,0.5762050900758005,Metropolitanos de Caracas FC,-0.1836217998309501,26-30,61-70,0.2997675508016166,0.6307932625103123
C. Soukou,1.2656566877880606,0.5762050900758005,SV Sandhausen,-0.19637518781982843,26-30,61-70,0.2631127366968009,1.0900530132270643
Ely,1.6967200432292615,0.2028869328329952,Universitatea Cluj,-0.2728955157530986,31-35,61-70,-0.05430744549043033,1.1868577646036347
D. Huisman,-0.889660089417944,0.32732631858059696,Vitesse,-0.11985485988655828,15-20,61-70,0.4487917362743273,-0.5263612074328768
21 G. Velázquez,1.912251720949862,0.5762050900758005,Club Sol de América,-0.2442003927781223,31-35,61-70,0.09152538977221614,1.5493127639438165
Joel Pereira,0.40352997690565884,0.7006444758234022,Lech Poznań,-0.145361635864315,26-30,61-70,0.3948540783135041,0.533988511133742
19 M. Aleksandrov,1.0501250100674602,0.5762050900758005,Arsenal Tula,-0.23463535178646353,26-30,61-70,0.13137142688150677,0.9369664296548137
