Name,Age,Overall,Club,Value(£),Age_Group,Overall_Group,Log_Value,Age_Rating,Cluster_Labels,playerId
G. Bale,1.912251720949862,2.193917104794623,Los Angeles FC,2.2650286940336954,31-35,81-90,1.5627964621307884,2.4858424516799382,2,104
R. Andrich,0.8345933323468597,2.193917104794623,Bayer 04 Leverkusen,3.030231973366397,26-30,81-90,1.6803590192699032,1.574076770109916,2,105
K. Laimer,0.4035299769056588,2.4427958762898268,RB Leipzig,4.5606385320318,26-30,81-90,1.8514061907586317,1.3219341618732676,2,106
M. Reus,2.1277833986704624,2.6916746477850304,Borussia Dortmund,3.922969132587882,31-35,81-90,1.787700726467639,2.9653636619871357,2,107
M. Arnold,1.0501250100674602,2.069477719047021,VfL Wolfsburg,2.2650286940336954,26-30,81-90,1.5627964621307884,1.6933942543647582,2,108
N. Kanté,1.6967200432292615,3.1894321907754373,Chelsea,8.83302350830605,31-35,81-90,2.1380809046281564,2.861805090747084,3,109
A. Robertson,1.0501250100674602,2.9405534192802336,Liverpool,8.83302350830605,26-30,81-90,2.1380809046281564,2.1346438187788928,3,110
A. Florenzi,1.6967200432292615,1.94503833329942,AC Milan,1.2447576549234265,31-35,71-80,1.336254748495124,2.1639103715206462,2,111
17 S. Gerrard,2.774378431832264,2.193917104794623,LA Galaxy,-0.1708684118420717,36-40,81-90,0.3337046099464705,3.2152549969359563,0,112
Y. Carrasco,1.0501250100674602,2.6916746477850304,Atlético de Madrid,6.601180610252338,26-30,81-90,2.010560154580198,2.0085725146605684,3,113
Anderson Talisca,1.0501250100674602,2.318356490542225,Al Nassr,3.6041344328659233,26-30,81-90,1.7521836264922557,1.8194655584830823,2,114
Lucas Vázquez,1.6967200432292615,2.193917104794623,Real Madrid CF,2.009960934256128,31-35,81-90,1.5157869110591884,2.3034893153659337,2,115
Oscar,1.481188365508661,2.193917104794623,Shanghai Port FC,2.8389311535332213,31-35,81-90,1.6536752939817974,2.121136179051929,2,116
Renan Lodi,0.1879982991850583,2.069477719047021,Atlético de Madrid,3.412833613032748,21-25,81-90,1.7294711507867857,0.9729868022600492,2,117
M. Faraoni,1.481188365508661,1.8205989475518185,Hellas Verona,1.1809907149790346,31-35,71-80,1.3175606820376953,1.91852158314748,2,118
T. Savanier,1.481188365508661,2.193917104794623,Montpellier Hérault SC,2.8389311535332213,31-35,81-90,1.6536752939817974,2.121136179051929,2,119
N. Stanciu,1.2656566877880606,1.94503833329942,Wuhan Three Towns,1.8186601144229528,26-30,71-80,1.477064612216283,1.8082091920439465,2,120
L. Paredes,1.0501250100674602,2.069477719047021,Paris Saint-Germain,2.009960934256128,26-30,81-90,1.5157869110591884,1.6933942543647582,2,121
J. Ward-Prowse,0.8345933323468597,2.193917104794623,Southampton,3.412833613032748,26-30,81-90,1.7294711507867857,1.574076770109916,2,122
M. Casco,2.343315076391063,1.6961595618042165,River Plate,0.1479662878798873,31-35,71-80,0.8028670065477681,2.544375557163446,0,123
R. Nainggolan,2.343315076391063,1.5717201760566146,Royal Antwerp FC,0.0969527359243738,31-35,71-80,0.7533115748740196,2.4678322653773206,0,124
K. Benzema,2.343315076391063,3.438310962270641,Real Madrid CF,7.812752469195782,31-35,91-100,2.0841432156609234,3.6159816421692006,3,125
T. Kroos,1.912251720949862,3.064992805027836,Real Madrid CF,8.83302350830605,31-35,81-90,2.1380809046281564,2.9901276681532347,3,126
17 P. Lahm,1.912251720949862,3.064992805027836,FC Bayern München,3.412833613032748,31-35,81-90,1.7294711507867857,2.9901276681532347,2,127
É. Banega,2.343315076391063,2.193917104794623,Al Shabab,1.1809907149790346,31-35,81-90,1.3175606820376953,2.8505487243079477,2,128
